cohort_month,month_number,horizon,cohort_size,retained_customers,retention_rate
2009-12,1,M1,955,337,0.35287958115183243
2009-12,2,M2,955,319,0.33403141361256544
2009-12,3,M3,955,406,0.42513089005235605
2009-12,4,M4,955,363,0.38010471204188484
2009-12,5,M5,955,343,0.35916230366492147
2009-12,6,M6,955,360,0.3769633507853403
2010-01,1,M1,383,79,0.206266318537859
2010-01,2,M2,383,119,0.31070496083550914
2010-01,3,M3,383,117,0.30548302872062666
2010-01,4,M4,383,101,0.26370757180156656
2010-01,5,M5,383,115,0.3002610966057441
2010-01,6,M6,383,99,0.2584856396866841
2010-02,1,M1,374,89,0.23796791443850268
2010-02,2,M2,374,84,0.22459893048128343
2010-02,3,M3,374,109,0.2914438502673797
2010-02,4,M4,374,92,0.24598930481283424
2010-02,5,M5,374,75,0.20053475935828877
2010-02,6,M6,374,72,0.1925133689839572
2010-03,1,M1,443,84,0.18961625282167044
2010-03,2,M2,443,102,0.23024830699774265
2010-03,3,M3,443,107,0.24153498871331827
2010-03,4,M4,443,103,0.2325056433408578
2010-03,5,M5,443,90,0.20316027088036118
2010-03,6,M6,443,109,0.24604966139954854
2010-04,1,M1,294,57,0.19387755102040816
2010-04,2,M2,294,57,0.19387755102040816
2010-04,3,M3,294,48,0.16326530612244897
2010-04,4,M4,294,54,0.1836734693877551
2010-04,5,M5,294,66,0.22448979591836735
2010-04,6,M6,294,81,0.2755102040816326
2010-05,1,M1,254,40,0.15748031496062992
2010-05,2,M2,254,43,0.16929133858267717
2010-05,3,M3,254,44,0.1732283464566929
2010-05,4,M4,254,45,0.17716535433070865
2010-05,5,M5,254,65,0.2559055118110236
2010-05,6,M6,254,54,0.2125984251968504
2010-06,1,M1,270,47,0.17407407407407408
2010-06,2,M2,270,51,0.18888888888888888
2010-06,3,M3,270,55,0.2037037037037037
2010-06,4,M4,270,62,0.22962962962962963
2010-06,5,M5,270,77,0.2851851851851852
2010-06,6,M6,270,34,0.1259259259259259
2010-07,1,M1,186,29,0.15591397849462366
2010-07,2,M2,186,34,0.1827956989247312
2010-07,3,M3,186,55,0.2956989247311828
2010-07,4,M4,186,54,0.2903225806451613
2010-07,5,M5,186,26,0.13978494623655913
2010-07,6,M6,186,21,0.11290322580645161
2010-08,1,M1,162,33,0.2037037037037037
2010-08,2,M2,162,48,0.2962962962962963
2010-08,3,M3,162,52,0.32098765432098764
2010-08,4,M4,162,28,0.1728395061728395
2010-08,5,M5,162,19,0.11728395061728394
2010-08,6,M6,162,16,0.09876543209876543
2010-09,1,M1,243,55,0.22633744855967078
2010-09,2,M2,243,57,0.2345679012345679
2010-09,3,M3,243,30,0.12345679012345678
2010-09,4,M4,243,22,0.09053497942386832
2010-09,5,M5,243,25,0.102880658436214
2010-09,6,M6,243,33,0.13580246913580246
2010-10,1,M1,377,97,0.2572944297082228
2010-10,2,M2,377,55,0.14588859416445624
2010-10,3,M3,377,47,0.1246684350132626
2010-10,4,M4,377,33,0.08753315649867374
2010-10,5,M5,377,31,0.08222811671087533
2010-10,6,M6,377,49,0.129973474801061
2010-11,1,M1,325,57,0.1753846153846154
2010-11,2,M2,325,30,0.09230769230769231
2010-11,3,M3,325,31,0.09538461538461539
2010-11,4,M4,325,25,0.07692307692307693
2010-11,5,M5,325,28,0.08615384615384615
2010-11,6,M6,325,42,0.12923076923076923
2010-12,1,M1,76,7,0.09210526315789473
2010-12,2,M2,76,4,0.05263157894736842
2010-12,3,M3,76,7,0.09210526315789473
2010-12,4,M4,76,9,0.11842105263157894
2010-12,5,M5,76,5,0.06578947368421052
2010-12,6,M6,76,4,0.05263157894736842
2011-01,1,M1,71,12,0.16901408450704225
2011-01,2,M2,71,15,0.2112676056338028
2011-01,3,M3,71,14,0.19718309859154928
2011-01,4,M4,71,15,0.2112676056338028
2011-01,5,M5,71,11,0.15492957746478872
2011-01,6,M6,71,11,0.15492957746478872
2011-02,1,M1,124,20,0.16129032258064516
2011-02,2,M2,124,19,0.1532258064516129
2011-02,3,M3,124,23,0.18548387096774194
2011-02,4,M4,124,27,0.21774193548387097
2011-02,5,M5,124,19,0.1532258064516129
2011-02,6,M6,124,19,0.1532258064516129
2011-03,1,M1,179,33,0.18435754189944134
2011-03,2,M2,179,39,0.21787709497206703
2011-03,3,M3,179,36,0.2011173184357542
2011-03,4,M4,179,40,0.22346368715083798
2011-03,5,M5,179,27,0.15083798882681565
2011-03,6,M6,179,37,0.20670391061452514
2011-04,1,M1,106,27,0.25471698113207547
2011-04,2,M2,106,21,0.19811320754716982
2011-04,3,M3,106,21,0.19811320754716982
2011-04,4,M4,106,19,0.1792452830188679
2011-04,5,M5,106,25,0.2358490566037736
2011-04,6,M6,106,19,0.1792452830188679
2011-05,1,M1,111,26,0.23423423423423423
2011-05,2,M2,111,27,0.24324324324324326
2011-05,3,M3,111,18,0.16216216216216217
2011-05,4,M4,111,24,0.21621621621621623
2011-05,5,M5,111,23,0.2072072072072072
2011-05,6,M6,111,29,0.26126126126126126
2011-06,1,M1,108,25,0.23148148148148148
2011-06,2,M2,108,23,0.21296296296296297
2011-06,3,M3,108,29,0.26851851851851855
2011-06,4,M4,108,22,0.2037037037037037
2011-06,5,M5,108,31,0.28703703703703703
2011-07,1,M1,102,22,0.21568627450980393
2011-07,2,M2,102,31,0.30392156862745096
2011-07,3,M3,102,28,0.27450980392156865
2011-07,4,M4,102,35,0.3431372549019608
2011-08,1,M1,106,29,0.27358490566037735
2011-08,2,M2,106,33,0.3113207547169811
2011-08,3,M3,106,28,0.2641509433962264
2011-09,1,M1,189,51,0.2698412698412698
2011-09,2,M2,189,71,0.37566137566137564
2011-10,1,M1,221,71,0.3212669683257919
