customer_id,primary_country,recency_days,frequency_orders,monetary_revenue,rfm_segment
16446,United Kingdom,197,1,2.9,Hibernating
16738,United Kingdom,289,1,3.75,Hibernating
14792,United Kingdom,55,1,6.2,New / One-time Recent
16454,United Kingdom,36,2,6.9,Repeat Active
17956,United Kingdom,241,1,12.75,Hibernating
16878,United Kingdom,76,1,13.3,New / One-time Recent
13307,United Kingdom,112,1,15.0,Occasional At Risk
15823,United Kingdom,364,1,15.0,Hibernating
17763,United Kingdom,255,1,15.0,Hibernating
16093,United Kingdom,98,1,17.0,Occasional At Risk
16953,United Kingdom,22,1,20.8,New / One-time Recent
17986,United Kingdom,48,1,20.8,New / One-time Recent
12970,United Kingdom,314,2,23.799999999999997,Hibernating
17102,United Kingdom,253,1,25.5,Hibernating
18268,United Kingdom,126,1,25.5,Occasional At Risk
15657,United Kingdom,14,1,30.0,New / One-time Recent
13120,United Kingdom,230,1,30.599999999999998,Hibernating
17408,United Kingdom,155,1,32.65,Occasional At Risk
16765,United Kingdom,286,1,34.0,Hibernating
15744,United Kingdom,69,1,34.8,New / One-time Recent
14576,United Kingdom,364,1,35.400000000000006,Hibernating
16856,United Kingdom,6,1,35.400000000000006,New / One-time Recent
17831,United Kingdom,25,1,35.400000000000006,New / One-time Recent
15940,United Kingdom,303,1,35.8,Hibernating
17816,United Kingdom,28,4,36.56,Repeat Active
14865,United Kingdom,364,1,37.2,Hibernating
16162,United Kingdom,244,1,37.4,Hibernating
12855,United Kingdom,364,1,38.1,Hibernating
18019,United Kingdom,43,1,38.45,New / One-time Recent
16659,United Kingdom,181,1,39.12,Hibernating
12977,United Kingdom,148,1,39.24,Occasional At Risk
14589,United Kingdom,363,1,39.75,Hibernating
15178,United Kingdom,252,1,40.5,Hibernating
14300,United Kingdom,10,1,43.2,New / One-time Recent
15423,United Kingdom,30,1,43.5,New / One-time Recent
14080,United Kingdom,24,1,45.599999999999994,New / One-time Recent
16257,United Kingdom,168,1,46.95,Occasional At Risk
15603,United Kingdom,70,1,48.480000000000004,New / One-time Recent
14821,United Kingdom,358,1,48.800000000000004,Hibernating
18184,United Kingdom,7,1,49.8,New / One-time Recent
13011,United Kingdom,364,1,50.550000000000004,Hibernating
14351,United Kingdom,156,1,51.0,Occasional At Risk
17844,Canada,98,1,51.56,Occasional At Risk
14682,United Kingdom,179,2,52.0,Occasional At Risk
15313,United Kingdom,102,1,52.0,Occasional At Risk
13832,United Kingdom,11,1,52.199999999999996,New / One-time Recent
15504,United Kingdom,73,1,52.83,New / One-time Recent
16349,United Kingdom,282,1,53.5,Hibernating
13366,United Kingdom,42,1,56.160000000000004,New / One-time Recent
15899,United Kingdom,360,1,56.25,Hibernating
17775,United Kingdom,246,1,56.4,Hibernating
13080,United Kingdom,171,1,58.08,Occasional At Risk
14957,United Kingdom,245,1,58.49,Hibernating
13682,United Kingdom,179,1,59.5,Occasional At Risk
13391,United Kingdom,195,1,59.8,Hibernating
17174,United Kingdom,209,1,59.9,Hibernating
13194,United Kingdom,127,1,60.7,Occasional At Risk
15516,United Kingdom,36,3,62.43,Repeat Active
13218,United Kingdom,119,1,62.63999999999999,Occasional At Risk
14840,United Kingdom,259,1,62.85,Hibernating
12665,Germany,316,1,63.0,Hibernating
14437,United Kingdom,357,1,63.0,Hibernating
17263,United Kingdom,200,1,63.44,Hibernating
13302,United Kingdom,147,1,63.75,Occasional At Risk
13130,United Kingdom,86,1,64.0,New / One-time Recent
13684,United Kingdom,277,1,65.13,Hibernating
17382,United Kingdom,57,1,65.4,New / One-time Recent
14393,United Kingdom,210,1,67.95,Hibernating
15863,United Kingdom,17,2,68.84,Repeat Active
18037,United Kingdom,146,6,70.02,High-Value At Risk
17022,United Kingdom,23,1,71.0,New / One-time Recent
13185,United Kingdom,259,1,71.4,Hibernating
17747,United Kingdom,104,1,71.4,Occasional At Risk
13938,United Kingdom,27,1,71.66,New / One-time Recent
13686,United Kingdom,174,1,72.0,Occasional At Risk
17906,United Kingdom,239,1,72.9,Hibernating
16171,United Kingdom,51,1,73.2,New / One-time Recent
12506,France,224,1,73.5,Hibernating
18032,United Kingdom,326,1,73.5,Hibernating
17960,United Kingdom,163,1,73.78,Occasional At Risk
13095,United Kingdom,62,1,74.39999999999999,New / One-time Recent
18050,United Kingdom,351,1,74.4,Hibernating
16468,United Kingdom,66,1,74.9,New / One-time Recent
13403,United Kingdom,9,1,75.0,New / One-time Recent
16610,United Kingdom,211,1,75.66,Hibernating
17628,United Kingdom,73,1,75.75,New / One-time Recent
17995,United Kingdom,273,1,76.1,Hibernating
14090,United Kingdom,316,1,76.32000000000001,Hibernating
15668,United Kingdom,209,1,76.32000000000001,Hibernating
16148,United Kingdom,288,1,76.32000000000001,Hibernating
18113,United Kingdom,360,1,76.32000000000001,Hibernating
13106,United Kingdom,125,1,76.5,Occasional At Risk
17536,United Kingdom,169,1,76.5,Occasional At Risk
14373,United Kingdom,350,1,76.55,Hibernating
13992,United Kingdom,22,1,76.8,New / One-time Recent
13132,United Kingdom,253,1,77.3,Hibernating
14785,United Kingdom,2,2,77.4,Repeat Active
15753,United Kingdom,296,1,79.2,Hibernating
16078,United Kingdom,275,1,79.2,Hibernating
13747,United Kingdom,365,1,79.6,Hibernating
17752,United Kingdom,351,1,80.64,Hibernating
13967,United Kingdom,137,1,80.7,Occasional At Risk
18281,United Kingdom,172,1,80.82,Occasional At Risk
17620,United Kingdom,51,1,81.44,New / One-time Recent
