activity_month,active_customers,new_customers,returning_customers,orders,repeat_orders,revenue,repeat_order_revenue,returning_customer_share,repeat_revenue_share
2009-12,955,955,0,1513,558,683504.01,284120.06,0.0,0.41568162855401536
2010-01,720,383,337,1011,628,555802.672,409550.081,0.46805555555555556,0.7368623823384569
2010-02,772,374,398,1104,730,504558.956,356683.802,0.5155440414507773,0.7069219518521439
2010-03,1057,443,614,1528,1085,696978.471,501931.63,0.5808893093661306,0.7201537075884802
2010-04,942,294,648,1331,1037,591982.002,473857.181,0.6878980891719745,0.8004587629338096
2010-05,966,254,712,1378,1124,597833.38,495624.62,0.7370600414078675,0.8290347052886207
2010-06,1041,270,771,1499,1229,636371.13,519643.0,0.7406340057636888,0.8165722414214485
2010-07,928,186,742,1382,1196,589736.17,530368.04,0.7995689655172413,0.8993310347574577
2010-08,911,162,749,1300,1138,602224.6,549196.28,0.8221734357848518,0.9119459417632558
2010-09,1145,243,902,1698,1455,829013.951,683673.701,0.7877729257641921,0.8246829865472313
2010-10,1497,377,1120,2134,1757,1033112.01,870967.57,0.7481629926519706,0.8430524101641215
2010-11,1607,325,1282,2593,2268,1166460.022,1032476.692,0.7977598008711886,0.8851368006849701
2010-12,885,76,809,1401,1325,570422.73,544154.63,0.9141242937853107,0.953949766342586
2011-01,741,71,670,993,922,568101.31,525853.66,0.9041835357624831,0.9256335986973873
2011-02,758,124,634,1002,878,446084.92,407208.4,0.8364116094986808,0.9128495085644232
2011-03,974,179,795,1324,1145,594081.76,527763.46,0.8162217659137577,0.8883683956228515
2011-04,856,106,750,1153,1047,468374.331,430517.681,0.8761682242990654,0.9191743708089758
2011-05,1056,111,945,1559,1448,677355.15,631237.86,0.8948863636363636,0.9319156427761713
2011-06,991,108,883,1394,1286,660046.05,618660.55,0.8910191725529768,0.9372990717844611
2011-07,949,102,847,1331,1229,598962.901,560100.57,0.8925184404636459,0.9351172986922607
2011-08,935,106,829,1282,1176,644051.04,600918.44,0.8866310160427807,0.9330292207897062
2011-09,1266,189,1077,1756,1567,950690.202,862336.972,0.8507109004739336,0.9070641205577502
2011-10,1364,221,1143,1930,1709,1035642.45,949046.93,0.8379765395894428,0.9163847329742036
2011-11,1664,191,1473,2659,2468,1156205.61,1093297.6300000001,0.8852163461538461,0.9455910095437091
