stock_code,product_description,target_customers,units,historical_revenue
22423,REGENCY CAKESTAND 3 TIER,46,407,4426.15
85123A,WHITE HANGING HEART T-LIGHT HOLDER,41,5154,13096.4
47566,PARTY BUNTING,39,1352,5915.6
22720,SET OF 3 CAKE TINS PANTRY DESIGN,33,364,1628.2
21212,PACK OF 72 RETROSPOT CAKE CASES,31,5090,2137.58
22960,JAM MAKING SET WITH JARS,31,387,1512.75
22457,NATURAL SLATE HEART CHALKBOARD,30,490,1368.7
21754,HOME BUILDING BLOCK WORD,29,166,978.7
20725,LUNCH BAG RED RETROSPOT,28,1116,1731.4
23298,SPOTTY BUNTING,27,448,2057.6000000000004
