cohort_month,month_number,cohort_size,retained_customers,retention_rate
2009-12,0,955,955,1.0
2009-12,1,955,337,0.35287958115183243
2009-12,2,955,319,0.33403141361256544
2009-12,3,955,406,0.42513089005235605
2009-12,4,955,363,0.38010471204188484
2009-12,5,955,343,0.35916230366492147
2009-12,6,955,360,0.3769633507853403
2009-12,7,955,327,0.3424083769633508
2009-12,8,955,321,0.33612565445026177
2009-12,9,955,346,0.362303664921466
2009-12,10,955,403,0.42198952879581153
2009-12,11,955,473,0.4952879581151832
2009-12,12,955,359,0.37591623036649213
2010-01,0,383,383,1.0
2010-01,1,383,79,0.206266318537859
2010-01,2,383,119,0.31070496083550914
2010-01,3,383,117,0.30548302872062666
2010-01,4,383,101,0.26370757180156656
2010-01,5,383,115,0.3002610966057441
2010-01,6,383,99,0.2584856396866841
2010-01,7,383,88,0.2297650130548303
2010-01,8,383,107,0.2793733681462141
2010-01,9,383,122,0.3185378590078329
2010-01,10,383,116,0.3028720626631854
2010-01,11,383,66,0.17232375979112272
2010-01,12,383,85,0.22193211488250653
2010-02,0,374,374,1.0
2010-02,1,374,89,0.23796791443850268
2010-02,2,374,84,0.22459893048128343
2010-02,3,374,109,0.2914438502673797
2010-02,4,374,92,0.24598930481283424
2010-02,5,374,75,0.20053475935828877
2010-02,6,374,72,0.1925133689839572
2010-02,7,374,107,0.28609625668449196
2010-02,8,374,95,0.2540106951871658
2010-02,9,374,103,0.27540106951871657
2010-02,10,374,43,0.11497326203208556
2010-02,11,374,47,0.12566844919786097
2010-02,12,374,57,0.15240641711229946
2010-03,0,443,443,1.0
2010-03,1,443,84,0.18961625282167044
2010-03,2,443,102,0.23024830699774265
2010-03,3,443,107,0.24153498871331827
2010-03,4,443,103,0.2325056433408578
2010-03,5,443,90,0.20316027088036118
2010-03,6,443,109,0.24604966139954854
2010-03,7,443,134,0.30248306997742663
2010-03,8,443,122,0.27539503386004516
2010-03,9,443,48,0.10835214446952596
2010-03,10,443,51,0.11512415349887133
2010-03,11,443,63,0.14221218961625282
2010-03,12,443,89,0.20090293453724606
2010-04,0,294,294,1.0
2010-04,1,294,57,0.19387755102040816
2010-04,2,294,57,0.19387755102040816
2010-04,3,294,48,0.16326530612244897
2010-04,4,294,54,0.1836734693877551
2010-04,5,294,66,0.22448979591836735
2010-04,6,294,81,0.2755102040816326
2010-04,7,294,77,0.2619047619047619
2010-04,8,294,31,0.1054421768707483
2010-04,9,294,32,0.10884353741496598
2010-04,10,294,22,0.07482993197278912
2010-04,11,294,41,0.13945578231292516
2010-04,12,294,41,0.13945578231292516
2010-05,0,254,254,1.0
2010-05,1,254,40,0.15748031496062992
2010-05,2,254,43,0.16929133858267717
2010-05,3,254,44,0.1732283464566929
2010-05,4,254,45,0.17716535433070865
2010-05,5,254,65,0.2559055118110236
2010-05,6,254,54,0.2125984251968504
2010-05,7,254,32,0.12598425196850394
2010-05,8,254,15,0.05905511811023622
2010-05,9,254,21,0.08267716535433071
2010-05,10,254,29,0.1141732283464567
2010-05,11,254,34,0.13385826771653545
2010-05,12,254,39,0.15354330708661418
2010-06,0,270,270,1.0
2010-06,1,270,47,0.17407407407407408
2010-06,2,270,51,0.18888888888888888
2010-06,3,270,55,0.2037037037037037
2010-06,4,270,62,0.22962962962962963
2010-06,5,270,77,0.2851851851851852
2010-06,6,270,34,0.1259259259259259
2010-06,7,270,24,0.08888888888888889
2010-06,8,270,22,0.08148148148148149
2010-06,9,270,32,0.11851851851851852
2010-06,10,270,29,0.10740740740740741
2010-06,11,270,37,0.13703703703703704
2010-06,12,270,40,0.14814814814814814
2010-07,0,186,186,1.0
2010-07,1,186,29,0.15591397849462366
2010-07,2,186,34,0.1827956989247312
2010-07,3,186,55,0.2956989247311828
2010-07,4,186,54,0.2903225806451613
2010-07,5,186,26,0.13978494623655913
2010-07,6,186,21,0.11290322580645161
2010-07,7,186,27,0.14516129032258066
2010-07,8,186,27,0.14516129032258066
2010-07,9,186,21,0.11290322580645161
2010-07,10,186,25,0.13440860215053763
2010-07,11,186,27,0.14516129032258066
2010-07,12,186,25,0.13440860215053763
2010-08,0,162,162,1.0
2010-08,1,162,33,0.2037037037037037
2010-08,2,162,48,0.2962962962962963
2010-08,3,162,52,0.32098765432098764
2010-08,4,162,28,0.1728395061728395
2010-08,5,162,19,0.11728395061728394
2010-08,6,162,16,0.09876543209876543
2010-08,7,162,20,0.12345679012345678
2010-08,8,162,22,0.13580246913580246
2010-08,9,162,21,0.12962962962962962
2010-08,10,162,21,0.12962962962962962
2010-08,11,162,20,0.12345679012345678
2010-08,12,162,25,0.15432098765432098
2010-09,0,243,243,1.0
2010-09,1,243,55,0.22633744855967078
2010-09,2,243,57,0.2345679012345679
2010-09,3,243,30,0.12345679012345678
2010-09,4,243,22,0.09053497942386832
2010-09,5,243,25,0.102880658436214
2010-09,6,243,33,0.13580246913580246
2010-09,7,243,24,0.09876543209876543
2010-09,8,243,31,0.12757201646090535
2010-09,9,243,32,0.13168724279835392
2010-09,10,243,28,0.11522633744855967
2010-09,11,243,24,0.09876543209876543
2010-09,12,243,53,0.21810699588477367
2010-10,0,377,377,1.0
2010-10,1,377,97,0.2572944297082228
2010-10,2,377,55,0.14588859416445624
2010-10,3,377,47,0.1246684350132626
2010-10,4,377,33,0.08753315649867374
2010-10,5,377,31,0.08222811671087533
2010-10,6,377,49,0.129973474801061
2010-10,7,377,52,0.13793103448275862
2010-10,8,377,40,0.10610079575596817
2010-10,9,377,35,0.09283819628647215
2010-10,10,377,40,0.10610079575596817
2010-10,11,377,49,0.129973474801061
2010-10,12,377,72,0.1909814323607427
2010-11,0,325,325,1.0
2010-11,1,325,57,0.1753846153846154
2010-11,2,325,30,0.09230769230769231
2010-11,3,325,31,0.09538461538461539
2010-11,4,325,25,0.07692307692307693
2010-11,5,325,28,0.08615384615384615
2010-11,6,325,42,0.12923076923076923
2010-11,7,325,32,0.09846153846153846
2010-11,8,325,28,0.08615384615384615
2010-11,9,325,29,0.08923076923076922
2010-11,10,325,36,0.11076923076923077
2010-11,11,325,47,0.14461538461538462
2010-11,12,325,83,0.2553846153846154
2010-12,0,76,76,1.0
2010-12,1,76,7,0.09210526315789473
2010-12,2,76,4,0.05263157894736842
2010-12,3,76,7,0.09210526315789473
2010-12,4,76,9,0.11842105263157894
2010-12,5,76,5,0.06578947368421052
2010-12,6,76,4,0.05263157894736842
2010-12,7,76,7,0.09210526315789473
2010-12,8,76,4,0.05263157894736842
2010-12,9,76,2,0.02631578947368421
2010-12,10,76,7,0.09210526315789473
2010-12,11,76,15,0.19736842105263158
2011-01,0,71,71,1.0
2011-01,1,71,12,0.16901408450704225
2011-01,2,71,15,0.2112676056338028
2011-01,3,71,14,0.19718309859154928
2011-01,4,71,15,0.2112676056338028
2011-01,5,71,11,0.15492957746478872
2011-01,6,71,11,0.15492957746478872
2011-01,7,71,9,0.1267605633802817
2011-01,8,71,8,0.11267605633802817
2011-01,9,71,15,0.2112676056338028
2011-01,10,71,18,0.2535211267605634
2011-02,0,124,124,1.0
2011-02,1,124,20,0.16129032258064516
2011-02,2,124,19,0.1532258064516129
2011-02,3,124,23,0.18548387096774194
2011-02,4,124,27,0.21774193548387097
2011-02,5,124,19,0.1532258064516129
2011-02,6,124,19,0.1532258064516129
2011-02,7,124,18,0.14516129032258066
2011-02,8,124,18,0.14516129032258066
2011-02,9,124,22,0.1774193548387097
2011-03,0,179,179,1.0
2011-03,1,179,33,0.18435754189944134
2011-03,2,179,39,0.21787709497206703
2011-03,3,179,36,0.2011173184357542
2011-03,4,179,40,0.22346368715083798
2011-03,5,179,27,0.15083798882681565
2011-03,6,179,37,0.20670391061452514
2011-03,7,179,36,0.2011173184357542
2011-03,8,179,43,0.24022346368715083
2011-04,0,106,106,1.0
2011-04,1,106,27,0.25471698113207547
2011-04,2,106,21,0.19811320754716982
2011-04,3,106,21,0.19811320754716982
2011-04,4,106,19,0.1792452830188679
2011-04,5,106,25,0.2358490566037736
2011-04,6,106,19,0.1792452830188679
2011-04,7,106,27,0.25471698113207547
2011-05,0,111,111,1.0
2011-05,1,111,26,0.23423423423423423
2011-05,2,111,27,0.24324324324324326
2011-05,3,111,18,0.16216216216216217
2011-05,4,111,24,0.21621621621621623
2011-05,5,111,23,0.2072072072072072
2011-05,6,111,29,0.26126126126126126
2011-06,0,108,108,1.0
2011-06,1,108,25,0.23148148148148148
2011-06,2,108,23,0.21296296296296297
2011-06,3,108,29,0.26851851851851855
2011-06,4,108,22,0.2037037037037037
2011-06,5,108,31,0.28703703703703703
2011-07,0,102,102,1.0
2011-07,1,102,22,0.21568627450980393
2011-07,2,102,31,0.30392156862745096
2011-07,3,102,28,0.27450980392156865
2011-07,4,102,35,0.3431372549019608
2011-08,0,106,106,1.0
2011-08,1,106,29,0.27358490566037735
2011-08,2,106,33,0.3113207547169811
2011-08,3,106,28,0.2641509433962264
2011-09,0,189,189,1.0
2011-09,1,189,51,0.2698412698412698
2011-09,2,189,71,0.37566137566137564
2011-10,0,221,221,1.0
2011-10,1,221,71,0.3212669683257919
2011-11,0,191,191,1.0
