country,customers,target_customers,target_customer_share,trailing_12m_revenue,target_historical_revenue,target_revenue_share
United Kingdom,3886,109,0.028049408131755018,6813642.824,395894.791,0.058103249792537115
Germany,93,5,0.053763440860215055,220694.23,17334.63,0.0785459139552493
Israel,3,2,0.6666666666666666,7215.84,7083.66,0.981681966340717
Japan,8,2,0.25,37416.37,6822.69,0.18234505378260904
France,86,2,0.023255813953488372,201657.39,6088.67,0.03019314095059943
Switzerland,21,2,0.09523809523809523,57222.85,5636.74,0.09850505523580178
Portugal,19,2,0.10526315789473684,30567.65,4870.26,0.15932726264531294
EIRE,3,1,0.3333333333333333,258283.54,4341.21,0.016807923571126523
Channel Islands,9,2,0.2222222222222222,20242.14,4147.67,0.20490274249659374
Belgium,24,2,0.08333333333333333,40133.53,3501.23,0.08723952266346868
Canada,4,1,0.25,3666.38,2940.04,0.8018917842667699
Greece,3,1,0.3333333333333333,4079.5299999999997,2661.24,0.6523398528752087
Australia,8,1,0.125,139040.38999999998,1760.96,0.012665096811077704
Finland,11,1,0.09090909090909091,21313.32,1710.39,0.08024981560826751
Lebanon,1,1,1.0,1693.88,1693.88,1.0
Lithuania,1,1,1.0,1661.06,1661.06,1.0
Austria,10,0,0.0,12342.24,0.0,0.0
Bahrain,2,0,0.0,548.4,0.0,0.0
Brazil,1,0,0.0,1143.6,0.0,0.0
Cyprus,6,0,0.0,10613.37,0.0,0.0
Czech Republic,1,0,0.0,826.74,0.0,0.0
Denmark,7,0,0.0,18333.02,0.0,0.0
European Community,1,0,0.0,1300.25,0.0,0.0
Iceland,1,0,0.0,4085.18,0.0,0.0
Italy,14,0,0.0,17282.79,0.0,0.0
Malta,2,0,0.0,2725.59,0.0,0.0
Netherlands,9,0,0.0,273718.32,0.0,0.0
Norway,10,0,0.0,33379.74,0.0,0.0
Poland,6,0,0.0,7334.650000000001,0.0,0.0
RSA,1,0,0.0,1002.3100000000001,0.0,0.0
Saudi Arabia,1,0,0.0,145.92,0.0,0.0
Singapore,1,0,0.0,21279.29,0.0,0.0
Spain,27,0,0.0,60038.090000000004,0.0,0.0
Sweden,8,0,0.0,38129.83,0.0,0.0
USA,3,0,0.0,2695.15,0.0,0.0
United Arab Emirates,2,0,0.0,1902.28,0.0,0.0
Unspecified,4,0,0.0,2660.77,0.0,0.0
