customer_id,primary_country,recency_days,frequency_orders,monetary_revenue,monetary_quartile,rfm_segment
15098,United Kingdom,174,3,39916.5,4,High-Value At Risk
16180,United Kingdom,92,8,10254.18,4,High-Value At Risk
12980,United Kingdom,149,9,7374.900000000001,4,High-Value At Risk
13027,United Kingdom,105,6,6912.0,4,High-Value At Risk
16553,United Kingdom,155,12,5719.82,4,High-Value At Risk
12688,Israel,105,1,4873.81,4,High-Value At Risk
13802,United Kingdom,130,3,4599.42,4,High-Value At Risk
14016,EIRE,153,4,4341.21,4,High-Value At Risk
12378,Switzerland,121,1,4008.62,4,High-Value At Risk
18073,United Kingdom,106,12,3859.82,4,High-Value At Risk
14364,United Kingdom,100,8,3717.35,4,High-Value At Risk
15379,United Kingdom,161,7,3703.29,4,High-Value At Risk
15581,United Kingdom,112,13,3675.77,4,High-Value At Risk
13082,United Kingdom,118,9,3613.63,4,High-Value At Risk
12643,France,120,6,3344.64,4,High-Value At Risk
17723,United Kingdom,119,6,3276.4000000000005,4,High-Value At Risk
13869,United Kingdom,115,4,3083.65,4,High-Value At Risk
13631,United Kingdom,91,11,3070.42,4,High-Value At Risk
12916,United Kingdom,130,4,2944.95,4,High-Value At Risk
17444,Canada,139,3,2940.04,4,High-Value At Risk
12758,Portugal,108,2,2791.59,4,High-Value At Risk
12669,France,142,3,2744.0299999999997,4,High-Value At Risk
12840,United Kingdom,135,4,2726.77,4,High-Value At Risk
18260,United Kingdom,164,6,2628.35,4,High-Value At Risk
16919,United Kingdom,148,11,2592.25,4,High-Value At Risk
15245,United Kingdom,126,3,2515.84,4,High-Value At Risk
16938,United Kingdom,171,3,2386.05,4,High-Value At Risk
13722,United Kingdom,123,3,2375.41,4,High-Value At Risk
14930,Channel Islands,100,3,2362.96,4,High-Value At Risk
16550,United Kingdom,100,5,2298.9700000000003,4,High-Value At Risk
15704,United Kingdom,132,4,2293.62,4,High-Value At Risk
15665,United Kingdom,160,2,2222.21,4,High-Value At Risk
12653,Israel,140,2,2209.85,4,High-Value At Risk
15797,United Kingdom,105,4,2207.4,4,High-Value At Risk
16456,United Kingdom,91,5,2158.18,4,High-Value At Risk
14407,United Kingdom,99,6,2157.73,4,High-Value At Risk
14461,United Kingdom,140,3,2103.06,4,High-Value At Risk
17400,United Kingdom,118,5,2097.84,4,High-Value At Risk
12782,Portugal,141,4,2078.67,4,High-Value At Risk
13593,United Kingdom,100,5,2011.88,4,High-Value At Risk
15372,United Kingdom,129,1,2007.3999999999999,4,High-Value At Risk
18097,United Kingdom,118,5,1986.2,4,High-Value At Risk
17337,United Kingdom,143,4,1981.06,4,High-Value At Risk
