stock_code,product_description,target_customers,units,historical_revenue
22423,REGENCY CAKESTAND 3 TIER,46,407,4426.15
85123A,WHITE HANGING HEART T-LIGHT HOLDER,41,5154,13096.4
47566,PARTY BUNTING,39,1352,5915.6
22720,SET OF 3 CAKE TINS PANTRY DESIGN,33,364,1628.2
21212,PACK OF 72 RETROSPOT CAKE CASES,31,5090,2137.58
22960,JAM MAKING SET WITH JARS,31,387,1512.75
22457,NATURAL SLATE HEART CHALKBOARD,30,490,1368.7
21754,HOME BUILDING BLOCK WORD,29,166,978.7
20725,LUNCH BAG RED RETROSPOT,28,1116,1731.4
23298,SPOTTY BUNTING,27,448,2057.6000000000004
85099B,JUMBO BAG RED RETROSPOT,26,1681,3032.55
22469,HEART OF WICKER SMALL,26,487,755.55
84879,ASSORTED COLOUR BIRD ORNAMENT,25,930,1571.7
22666,RECIPE BOX PANTRY YELLOW DESIGN,25,265,733.75
84991,60 TEATIME FAIRY CAKE CASES,24,3257,1379.75
22382,LUNCH BAG SPACEBOY DESIGN,24,669,1043.85
21755,LOVE BUILDING BLOCK WORD,24,103,612.85
22961,JAM MAKING SET PRINTED,23,374,523.1
22699,ROSES REGENCY TEACUP AND SAUCER,22,249,705.7500000000001
22969,HOMEMADE JAM SCENTED CANDLES,22,456,642.0
22383,LUNCH BAG SUKI DESIGN,21,872,1378.8
23209,LUNCH BAG VINTAGE DOILY,21,665,1037.25
20728,LUNCH BAG CARS BLUE,21,577,922.05
22697,GREEN REGENCY TEACUP AND SAUCER,21,253,717.5500000000001
84987,SET OF 36 TEATIME PAPER DOILIES,21,163,236.35
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20,233,848.3500000000001
82482,WOODEN PICTURE FRAME WHITE FINISH,20,360,845.1
20724,RED RETROSPOT CHARLOTTE BAG,20,735,572.75
85099F,JUMBO BAG STRAWBERRY,19,959,1713.88
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,19,577,1522.95
22090,PAPER BUNTING RETROSPOT,19,358,960.1
82494L,WOODEN FRAME ANTIQUE WHITE,19,254,701.3000000000001
21181,PLEASE ONE PERSON METAL SIGN,19,284,584.4000000000001
20723,STRAWBERRY CHARLOTTE BAG,19,559,436.15
22149,FELTCRAFT 6 FLOWER FRIENDS,19,209,428.90000000000003
21175,GIN + TONIC DIET METAL SIGN,18,4202,7548.75
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,18,5764,1193.48
21733,RED HANGING HEART T-LIGHT HOLDER,18,281,777.75
48187,DOORMAT NEW ENGLAND,18,102,750.9
22384,LUNCH BAG PINK POLKADOT,18,438,722.7
20727,LUNCH BAG  BLACK SKULL.,18,282,465.3
84378,SET OF 3 HEART COOKIE CUTTERS,18,277,346.25
47590B,PINK HAPPY BIRTHDAY BUNTING,17,305,1486.25
21977,PACK OF 60 PINK PAISLEY CAKE CASES,17,2555,1065.65
21080,SET/20 RED RETROSPOT PAPER NAPKINS,17,329,267.17
22652,TRAVEL SEWING KIT,17,157,259.05
84970S,HANGING HEART ZINC T-LIGHT HOLDER,17,300,254.99999999999997
21034,REX CASH+CARRY JUMBO SHOPPER,17,76,72.2
22197,SMALL POPCORN HOLDER,16,4859,3532.15
21929,JUMBO BAG PINK VINTAGE PAISLEY,16,855,1521.7
